"Reference","Value","Qty","Supplier 1","Supplier 1 S/N"
"C1,C3,C6,C7","-- mixed values --","4","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61C106KE15K/2546903","490-6473-1-ND"
"C2","0.1uF","1","https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538?s=N4IgTCBcDaIEIGECMAGAHAFgQFQLQDkAREAXQF8g","BC1084CT-ND"
"C4,C5","135p","2","https://www.digikey.com/en/products/detail/murata-electronics/GRM1885C1H101JA01D/586921","490-1427-1-ND"
"D1,D2,D3,J3,J8,J12,J14,J27,J28,J31,JP4,JP5,JP6,JP7,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,R6,R7,U6","-- mixed values --","53","",""
"J2,J4","430450422","2","https://www.digikey.com/en/products/detail/molex/0430450426/3310188","WM10681-ND"
"J5","430451027","1","https://www.digikey.com/en/products/detail/molex/0430451012/252506","WM1793-ND"
"J6,J20,J21,J22,J23,J25","430450228","6","https://www.digikey.com/en/products/detail/molex/0430450201/3310171","WM9815-ND"
"J7,J13","SBH11-PBPC-D10-ST-BK","2","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SBH11-PBPC-D10-ST-BK/1990065","S9172-ND"
"J9","J1B1211CCD","1","https://www.digikey.com/en/products/detail/wiznet/J1B1211CCD/7604176","1278-1052-ND"
"J10","Conn_02x03_Odd_Even","1","https://www.digikey.com/en/products/detail/metz-connect-usa-inc/PR20C03VBDN/7794765","1849-1000-ND"
"J11,J17,J18,J19","430450422","4","https://www.digikey.com/en/products/detail/molex/0430450422/1635030","WM2679-ND"
"J26","430450821","1","https://www.digikey.com/en/products/detail/molex/0430450821/1635026","WM2675-ND"
"JP3,JP11,JP12,JP13,JP14,JP15,JP16,JP18,JP19,JP20,JP21,JP22,JP23,JP24,JP25,JP26,JP27,JP28,JP29,JP30,JP31,JP32,JP33,JP34,JP35,JP36,JP37,JP38,JP39,JP41,JP42,JP43,JP44,JP45,JP46,JP47,JP48,JP49,JP50,JP51,JP52,JP53,JP57,JP59,JP60,JP67","-- mixed values --","46","https://www.digikey.com/en/products/detail/adam-tech/HMSC-G/9830451","2057-HMSC-G-ND"
"R1,R2,R3,R4,R5,R8,R9","10k","7","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ103V/83062","P10KACT-ND"
"RN1","10kΩ","1","https://www.digikey.com/en/products/detail/bourns-inc/CAY16-103J4LF/431579","CAY16-103J4LFCT-ND"
"SW1","09.03201.02","1","https://www.digikey.com/en/products/detail/eao/09-03201-02/8733105","1948-1086-ND"
"U1","BA033CC0FP-E2","1","https://www.digikey.com/en/products/detail/rohm-semiconductor/BA033CC0FP-E2/722186","BA033CC0FP-E2CT-ND"
"U2,U3","MCP9808_MSOP","2","https://www.digikey.com/en/products/detail/microchip-technology/MCP9808T-E-MS/2803667","MCP9808T-E/MSCT-ND"
"U4","BME280","1","https://www.digikey.com/en/products/detail/bosch-sensortec/BME280/6136306","828-1063-1-ND"
"U7","MCP23008-E_P","1","https://www.digikey.com/en/products/detail/microchip-technology/MCP23008-E-P/735951?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Supplier_Focus%20Supplier&utm_term=&utm_content=&utm_id=go_cmp-20243063242_adg-_ad-__dev-c_ext-_prd-735951_sig-CjwKCAiA5Ka9BhB5EiwA1ZVtvESuOTDoldZRu_MK81sSYvYK_OP2BpEv8juOinewNN0qMlJE0ReFFhoCIFEQAvD_BwE&gad_source=1&gclid=CjwKCAiA5Ka9BhB5EiwA1ZVtvESuOTDoldZRu_MK81sSYvYK_OP2BpEv8juOinewNN0qMlJE0ReFFhoCIFEQAvD_BwE&gclsrc=aw.ds","MCP23008-E/P-ND"
