"Reference","Value","Qty","Supplier 1","Supplier 1 S/N"
"Cb1,Cb2,Cb3,Cb4,Cb5,Cb6,Cb7,Cb8,Cf1,Cf2,Cf3,Cf4,Cf5,Cf6,Cf7,Cf8","-- mixed values --","16","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","311-1140-1-ND"
"Cf9,Cf10,Cf11,Cf12,Cf13,Cf14,Cf15,Cf16","1 µF","8","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687","1276-1029-1-ND"
"IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8","ACS713ELCTR-30A-T","8","https://www.digikey.com/en/products/detail/allegro-microsystems/ACS713ELCTR-30A-T/1284597?_gl=1*148897x*_up*MQ..&gclid=Cj0KCQjwmt24BhDPARIsAJFYKk21nIx_-tUP4tcUXSovOnmLUqnIoOLB9CLbyM5WIj2G2iDMNpqSVlUaAroJEALw_wcB","620-1193-1-ND"
"J1,J2,J6,J7","1098169","4","https://www.digikey.com/en/products/detail/phoenix-contact/1098169/16500361","277-1098169-ND"
"J3,J4,J9,JP1,JP2,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12","-- mixed values --","17","",""
"J10,J11,J12,J13,J14,J15,J16,J17","430450228","8","https://www.digikey.com/en/products/detail/molex/0430450228/3310183","WM10659-ND"
"J18","SBH11-PBPC-D10-ST-BK","1","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SBH11-PBPC-D10-ST-BK/1990065","S9172-ND"
"R1,R2","10k","2","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ103V/83062","P10KACT-ND"
"R3","2.2k Array","1","https://www.digikey.com/en/products/detail/cts-resistor-products/742C163222JP/1124346","60-742C163222JPCT-ND"
"R4","3.3k Array","1","https://www.digikey.com/en/products/detail/cts-resistor-products/742C163332JP/1124341","60-742C163332JPCT-ND"
"U1,U2","MCP9808_MSOP","2","https://www.digikey.com/en/products/detail/microchip-technology/MCP9808T-E-MS/2803667","MCP9808T-E/MSCT-ND"
