"Reference","Value","Qty","Supplier 1","Supplier 1 S/N"
"C1","10uF","1","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEE-1CA100SR/766045","PCE3878CT-ND"
"C2,C3,C4,C5,C6","-- mixed values --","5","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61C106KE15K/2546903","490-6473-1-ND"
"C7","0.1u","1","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661","1276-1003-1-ND"
"C8","100nF","1","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","311-1140-1-ND"
"C9","1µF","1","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687","1276-1029-1-ND"
"C10,C11","10,000uF","2","https://www.digikey.com/en/products/detail/rubycon/16PX10000MEFC16X31-5/3134083","1189-1125-ND"
"CR1","SBRT15U50SP5-13","1","https://www.digikey.com/en/products/detail/diodes-incorporated/SBRT15U50SP5-13/4567773","SBRT15U50SP5-13DICT-ND"
"D1,D2","D_Zener","2","https://www.digikey.com/en/products/detail/onsemi/1N5242B/977596","1N5242B-ND"
"D3","TVS","1","https://www.digikey.com/en/products/detail/bourns-inc/SMAJ17A/2254614","SMAJ17ABCT-ND"
"D4,D5,D6,D7,D8,D10,D11,D12,D13","GreenLED","9","https://www.digikey.com/en/products/detail/rohm-semiconductor/SML-D12P8WT86/1641798","846-SML-D12P8WT86CT-ND"
"H1,H2,H3,H4,J1,J2,J3,J4,J5,J6,J9,JP4,JP5,JP6,JP7,JP10,JP11,JP13,JP14,JP15,JP16,JP17,JP18,JP19,JP20,JP21,JP22,JP23,JP24,JP25,JP26,JP27,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,TP1,TP2,TP3,TP4,TP5,TP6","-- mixed values --","67","",""
"J7","USB_A_Stacked","1","https://www.digikey.com/en/products/detail/assmann-wsw-components/AU-Y1008-2/5147142","AE11131-ND"
"J8","SBH11-PBPC-D10-ST-BK","1","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SBH11-PBPC-D10-ST-BK/1990065","S9172-ND"
"JP12","Jumper_2_Open","1","https://www.digikey.com/en/products/detail/keystone-electronics/5102/4780768","36-5102-ND"
"PM1,PM2","LMS78","2","https://www.digikey.com/en/products/detail/gaptec-electronic/LMS78-05-2-0R/13691812","3182-LMS78_05-2.0R-ND"
"Q1,Q2,Q3,Q4,Q5,Q6","MCTL160N15Y-TP","6","https://www.digikey.com/en/products/detail/micro-commercial-co/MCTL160N15Y-TP/21097834","353-MCTL160N15Y-TPCT-ND"
"R1,R6","50k","2","https://www.digikey.com/en/products/detail/vishay-dale-thin-film/PTN0805E5002BST1/7103047","764-1535-1-ND"
"R2,R3,R7,R8","10k","4","https://www.digikey.com/en/products/detail/susumu/RR1220P-103-D/432315","RR12P10.0KDCT-ND"
"R4,R5","100k","2","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07100KL/727544","311-100KCRCT-ND"
"R9,R10","12k","2","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT12K0/1711867","738-RMCF0805JT12K0CT-ND"
"R11,R12","86.6k","2","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0786K6L/728177","311-86.6KCRCT-ND"
"R13","2.2k","1","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F2K2/2135487","A106060CT-ND"
"R14","0.5 Ohm 25W","1","https://www.digikey.com/en/products/detail/bourns-inc/PWR163S-25-R500FE/4699610","118-PWR163S-25-R500FECT-ND"
"R15","3.9k","1","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F3K9/2380903","A126369CT-ND"
"R16","10k","1","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ103V/83062","P10KACT-ND"
"R19","100","1","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07100RL/727543","311-100CRCT-ND"
"R21","100 Ohm","1","https://www.digikey.com/en/products/detail/cts-resistor-products/742C163101JP/1124353","60-742C163101JPCT-ND"
"S1","100SP1T1B4M2QE","1","https://www.digikey.com/en/products/detail/e-switch/100SP1T1B4M2QE/378824","EG2355-ND"
"TH1,TH2","Thermistor_US","2","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07150RL/727613","311-150CRCT-ND"
"U1,U2","STPS5045SG-TR","2","https://www.digikey.com/en/products/detail/stmicroelectronics/STPS5045SG-TR/3661704","497-13279-1-ND"
"U3","LTC1255CS8-PBF","1","https://www.digikey.com/en/products/detail/analog-devices-inc/LTC1255CS8-PBF/889867","LTC1255CS8#PBF-ND"
"U4","BA033CC0FP-E2","1","https://www.digikey.com/en/products/detail/rohm-semiconductor/BA033CC0FP-E2/722186","BA033CC0FP-E2CT-ND"
"U5","ACS758LCB-100U-PFF-T","1","https://www.digikey.com/en/products/detail/allegro-microsystems/ACS758LCB-100U-PFF-T/2415199","620-1354-ND"
"U7","74VHC21FT","1","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/74VHC21FT/9865998","74VHC21FTCT-ND"
"U8,U9","74AHC1G04","2","https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G04DCKR/385717","296-11600-1-ND"
"U11","SN74LVC1G373DCKR","1","https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G373DCKR/863611","296-18775-1-ND"
"U12,U13","74LVC1G08","2","https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G08DCKR/385719","296-11602-1-ND"
"U14","MCP9808_MSOP","1","https://www.digikey.com/en/products/detail/microchip-technology/MCP9808T-E-MS/2803667","MCP9808T-E/MSCT-ND"
"U15","TSX634AIPT","1","https://www.digikey.com/en/products/detail/stmicroelectronics/TSX634AIPT/4280211","497-14067-1-ND"
"VR1,VR2","3296W-1-103RLF","2","https://www.digikey.com/en/products/detail/bourns-inc/3296W-1-103RLF/2535867","118-3296W-1-103RLFCT-ND"
